extrude_speed_slider,extrude_angle_slider,extrude_length_slider,down_length_slider,down_speed_slider,delay_after_down,shear_length,shear_speed,delay_after_shear,back_speed,moving_speed,moving_step_angle,time_delay,variable1,variable3,search_start,search_end,ground_height,extrude_back_speed
1,1.0,0.0,4.0,4.0,1.0,3.0,17.0,1.0,0.0,1.0,10.0,5.0,0.0,18.0,0.0,18.0,27.0,17.0,1.0
time,toeforce_x,toeforce_y,toe_position_x,toe_position_y,toe_velocity_x,toe_velocity_y,position,position1,torque,torque1,theta command,length command,state flag,current
0.5112450122833252,-0.04343506321310997,1.4811254739761353,2.7042042347602546e-05,-0.1600581705570221,0.0,0.0,0.6219853162765503,-0.6223233342170715,-0.028323430567979813,-0.021331243216991425,0.0,0.0,0.0,0.0
0.5171599388122559,-0.007103428710252047,0.7516239285469055,3.992850452050334e-06,-0.16005635261535645,0.0,0.0,0.6220752000808716,-0.6221248507499695,-0.01316786464303732,-0.012027913704514503,0.0,0.0,0.0,0.0
0.5175290107727051,-0.1923729032278061,1.3882135152816772,1.1014486517524347e-05,-0.16005811095237732,0.0,0.0,0.6220834255218506,-0.6222214698791504,-0.038672782480716705,-0.007866647094488144,0.0,0.0,0.0,0.0
0.5178396701812744,-0.1297740340232849,1.356809139251709,1.3609459529106971e-05,-0.16005854308605194,0.0,0.0,0.6220796704292297,-0.622249960899353,-0.033138807862997055,-0.012348901480436325,0.0,0.0,0.0,0.0
0.5180914402008057,0.11390861868858337,2.0864481925964355,8.572154911234975e-06,-0.16005739569664001,0.0,0.0,0.622077465057373,-0.6221848130226135,-0.025865819305181503,-0.04407985135912895,0.0,0.0,0.0,0.0
0.518341064453125,-0.12479110807180405,0.9553855657577515,4.4126172724645585e-06,-0.1600564420223236,0.0,0.0,0.6220752000808716,-0.6221300959587097,-0.026002058759331703,-0.006024221424013376,0.0,0.0,0.0,0.0
0.5185890197753906,-0.16780884563922882,0.6080605387687683,1.4639807886851486e-05,-0.16005857288837433,0.0,0.0,0.6220752000808716,-0.622258186340332,-0.023626696318387985,0.0032414512243121862,0.0,0.0,0.0,0.0
0.5192971229553223,-0.2989942729473114,1.046333909034729,7.770766387693584e-06,-0.16005709767341614,0.0,0.0,0.6220737099647522,-0.6221705675125122,-0.041470110416412354,0.006394178606569767,0.0,0.0,0.0,0.0
0.519646167755127,0.13701142370700836,1.1610262393951416,7.4654790296335705e-06,-0.16005703806877136,0.0,0.0,0.6220737099647522,-0.6221668124198914,-0.00850018672645092,-0.03042116016149521,0.0,0.0,0.0,0.0
0.5199682712554932,-0.06061885878443718,1.9855469465255737,6.3588131524738856e-06,-0.16005679965019226,0.0,0.0,0.6220737099647522,-0.6221533417701721,-0.03813786432147026,-0.028422778472304344,0.0,0.0,0.0,0.0
